"﻿日平均氣溫(攝氏度) - 天文台"
"Daily Mean Temperature (°C) at the Hong Kong Observatory"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.8,C
2026,1,2,15.0,C
2026,1,3,14.3,C
2026,1,4,17.0,C
2026,1,5,18.3,C
2026,1,6,14.0,C
2026,1,7,13.4,C
2026,1,8,14.9,C
2026,1,9,15.7,C
2026,1,10,17.1,C
2026,1,11,17.5,C
2026,1,12,17.5,C
2026,1,13,18.9,C
2026,1,14,18.8,C
2026,1,15,19.2,C
2026,1,16,19.9,C
2026,1,17,20.7,C
2026,1,18,20.2,C
2026,1,19,19.6,C
2026,1,20,18.6,C
2026,1,21,15.7,C
2026,1,22,14.2,C
2026,1,23,14.5,C
2026,1,24,16.8,C
2026,1,25,18.2,C
2026,1,26,19.7,C
2026,1,27,21.1,C
2026,1,28,18.8,C
2026,1,29,18.2,C
2026,1,30,19.2,C
2026,1,31,18.2,C
2026,2,1,15.8,C
2026,2,2,17.5,C
2026,2,3,17.8,C
2026,2,4,18.8,C
2026,2,5,20.9,C
2026,2,6,22.1,C
2026,2,7,19.6,C
2026,2,8,16.5,C
2026,2,9,15.5,C
2026,2,10,17.9,C
2026,2,11,21.0,C
2026,2,12,18.4,C
2026,2,13,20.2,C
2026,2,14,21.8,C
2026,2,15,22.9,C
2026,2,16,24.0,C
2026,2,17,19.5,C
2026,2,18,19.6,C
2026,2,19,19.6,C
2026,2,20,20.9,C
2026,2,21,21.0,C
2026,2,22,22.3,C
2026,2,23,21.4,C
2026,2,24,22.3,C
2026,2,25,22.7,C
2026,2,26,20.5,C
2026,2,27,21.4,C
2026,2,28,20.0,C
2026,3,1,19.8,C
2026,3,2,22.5,C
2026,3,3,19.8,C
2026,3,4,16.5,C
2026,3,5,19.3,C
2026,3,6,20.0,C
2026,3,7,19.5,C
2026,3,8,19.1,C
2026,3,9,19.7,C
2026,3,10,17.7,C
2026,3,11,18.8,C
2026,3,12,20.3,C
2026,3,13,18.8,C
2026,3,14,19.4,C
2026,3,15,20.7,C
2026,3,16,20.8,C
2026,3,17,21.2,C
2026,3,18,23.4,C
2026,3,19,24.1,C
2026,3,20,21.5,C
2026,3,21,21.4,C
2026,3,22,22.3,C
2026,3,23,23.4,C
2026,3,24,24.0,C
2026,3,25,25.3,C
2026,3,26,25.0,C
2026,3,27,24.2,C
2026,3,28,24.5,C
2026,3,29,23.6,C
2026,3,30,25.2,C
2026,3,31,25.9,C
2026,4,1,24.5,C
2026,4,2,23.0,C
2026,4,3,25.5,C
2026,4,4,25.0,C
2026,4,5,24.0,C
2026,4,6,26.5,C
2026,4,7,27.2,C
2026,4,8,23.4,C
2026,4,9,25.6,C
2026,4,10,26.7,C
2026,4,11,26.6,C
2026,4,12,26.8,C
2026,4,13,27.1,C
2026,4,14,27.1,C
2026,4,15,26.9,C
2026,4,16,27.0,C
2026,4,17,25.2,C
2026,4,18,25.5,C
2026,4,19,26.7,C
2026,4,20,26.7,C
2026,4,21,26.8,C
2026,4,22,27.2,C
2026,4,23,25.8,C
2026,4,24,21.1,C
2026,4,25,23.2,C
2026,4,26,25.1,C
2026,4,27,25.2,C
2026,4,28,26.3,C
2026,4,29,24.8,C
2026,4,30,22.7,C
2026,5,1,24.0,C
2026,5,2,25.2,C
2026,5,3,25.1,C
2026,5,4,23.7,C
2026,5,5,21.3,C
2026,5,6,23.3,C
2026,5,7,25.9,C
2026,5,8,26.9,C
2026,5,9,23.7,C
2026,5,10,24.0,C
2026,5,11,25.7,C
2026,5,12,27.6,C
2026,5,13,28.3,C
2026,5,14,27.5,C
2026,5,15,26.1,C
2026,5,16,24.6,C
2026,5,17,24.3,C
2026,5,18,25.4,C
2026,5,19,25.6,C
2026,5,20,28.0,C
2026,5,21,28.1,C
2026,5,22,28.9,C
2026,5,23,29.0,C
2026,5,24,29.6,C
2026,5,25,29.8,C
2026,5,26,30.0,C
2026,5,27,30.7,C
2026,5,28,30.6,C
2026,5,29,30.6,C
2026,5,30,29.3,C
2026,5,31,28.8,C
2026,6,1,29.2,C
2026,6,2,30.0,C
2026,6,3,30.5,C
2026,6,4,30.8,C
2026,6,5,30.7,C
2026,6,6,27.7,C
2026,6,7,28.1,C
2026,6,8,27.6,C
2026,6,9,26.7,C
2026,6,10,26.3,C
2026,6,11,26.7,C
2026,6,12,27.4,C
2026,6,13,27.8,C
2026,6,14,28.9,C
2026,6,15,27.3,C
2026,6,16,26.1,C
2026,6,17,27.0,C
2026,6,18,27.1,C
2026,6,19,29.3,C
2026,6,20,29.6,C
2026,6,21,29.9,C
2026,6,22,30.2,C
2026,6,23,30.4,C
2026,6,24,30.7,C
2026,6,25,30.8,C
2026,6,26,28.5,C
2026,6,27,28.9,C
2026,6,28,27.9,C
2026,6,29,28.7,C
2026,6,30,28.7,C
2026,7,1,30.3,C
2026,7,2,30.0,C
2026,7,3,28.8,C
2026,7,4,28.8,C
2026,7,5,30.0,C
2026,7,6,28.7,C
2026,7,7,26.9,C
2026,7,8,28.4,C
2026,7,9,29.4,C
2026,7,10,29.8,C
2026,7,11,30.4,C
2026,7,12,31.1,C
2026,7,13,30.5,C
2026,7,14,27.9,C
2026,7,15,27.1,C
2026,7,16,26.3,C
2026,7,17,27.9,C
2026,7,18,29.1,C
2026,7,19,29.3,C
2026,7,20,28.2,C
2026,7,21,28.7,C
2026,7,22,29.9,C
2026,7,23,30.3,C
2026,7,24,30.7,C
2026,7,25,30.1,C
2026,7,26,26.1,C
2026,7,27,26.8,C
2026,7,28,27.0,C
2026,7,29,27.0,C
2026,7,30,26.9,C
2026,7,31,26.0,C
2026,8,1,26.4,C
2026,8,2,25.6,C
2026,8,3,26.5,C
2026,8,4,28.4,C
2026,8,5,29.1,C
2026,8,6,29.9,C
2026,8,7,30.3,C
2026,8,8,31.6,C
2026,8,9,32.9,C
2026,8,10,32.3,C
2026,8,11,31.8,C
2026,8,12,31.7,C
2026,8,13,31.4,C
2026,8,14,28.4,C
2026,8,15,28.9,C
2026,8,16,30.5,C
2026,8,17,29.9,C
2026,8,18,29.7,C
2026,8,19,30.0,C
2026,8,20,28.0,C
2026,8,21,28.2,C
2026,8,22,29.3,C
2026,8,23,29.9,C
2026,8,24,30.3,C
2026,8,25,29.8,C
2026,8,26,28.5,C
2026,8,27,28.2,C
2026,8,28,30.1,C
2026,8,29,30.1,C
2026,8,30,29.1,C
2026,8,31,27.7,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
